iter	Passed	Remaining
0	2	535
1	4	465
2	6	440
3	18	923
4	20	818
5	23	748
6	25	696
7	27	658
8	29	625
9	31	603
10	33	581
11	36	565
12	38	549
13	40	534
14	42	521
15	44	512
16	46	503
17	49	495
18	51	488
19	53	481
20	55	474
21	58	469
22	60	464
23	62	460
24	65	456
25	67	451
26	69	446
27	72	445
28	74	440
29	76	434
30	78	430
31	81	425
32	83	421
33	85	416
34	87	413
35	89	409
36	92	406
37	94	403
38	97	401
39	99	397
40	101	394
41	104	391
42	106	388
43	108	385
44	111	382
45	113	379
46	115	376
47	117	372
48	120	371
49	122	367
50	124	364
51	127	361
52	129	359
53	131	355
54	133	353
55	136	351
56	138	348
57	141	346
58	143	344
59	146	342
60	149	340
61	152	338
62	154	335
63	156	332
64	158	329
65	161	327
66	163	325
67	165	321
68	168	319
69	170	317
70	173	314
71	175	311
72	177	308
73	179	305
74	181	303
75	183	300
76	186	297
77	188	294
78	190	291
79	192	289
80	194	286
81	197	284
82	200	282
83	202	279
84	204	276
85	206	274
86	209	271
87	211	268
88	213	266
89	215	263
90	217	260
91	220	258
92	222	256
93	225	254
94	227	251
95	230	249
96	232	246
97	234	244
98	236	241
99	238	238
100	241	236
101	243	234
102	245	231
103	247	228
104	250	226
105	252	223
106	254	221
107	256	218
108	259	216
109	261	213
110	263	211
111	265	208
112	267	206
113	270	203
114	272	201
115	274	198
116	276	196
117	278	193
118	281	191
119	283	188
120	285	186
121	287	183
122	289	181
123	292	178
124	294	176
125	295	173
126	298	171
127	300	169
128	302	166
129	305	164
130	307	161
131	309	159
132	312	157
133	315	155
134	317	152
135	319	150
136	321	147
137	324	145
138	326	143
139	328	140
140	331	138
141	333	136
142	335	133
143	337	131
144	339	128
145	342	126
146	344	124
147	346	121
148	348	119
149	350	116
150	352	114
151	355	112
152	357	109
153	359	107
154	361	105
155	363	102
156	366	100
157	368	97
158	370	95
159	372	93
160	375	90
161	377	88
162	379	86
163	381	83
164	384	81
165	386	79
166	388	76
167	390	74
168	393	72
169	395	69
170	397	67
171	399	65
172	402	62
173	404	60
174	406	58
175	408	55
176	410	53
177	412	51
178	414	48
179	417	46
180	419	44
181	422	41
182	424	39
183	426	37
184	428	34
185	431	32
186	433	30
187	435	27
188	437	25
189	440	23
190	442	20
191	445	18
192	447	16
193	450	13
194	452	11
195	455	9
196	457	6
197	459	4
198	461	2
199	463	0
