,id,host_id,host_listings_count,accommodates,bathrooms,bedrooms,beds,price,guests_included,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month
0,22267382,1910170,1.0,2,1.0,1.0,1.0,145.0,2,7,12,6,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0.59
1,2473861,8826175,4.0,8,1.0,3.0,5.0,175.0,3,3,30,137,91.0,9.0,9.0,9.0,9.0,9.0,9.0,3,2.47
2,25079703,4383563,1.0,2,1.0,0.0,1.0,180.0,1,2,1125,3,100.0,10.0,9.0,9.0,10.0,10.0,10.0,1,0.89
3,9342478,10406276,1.0,1,1.0,1.0,1.0,42.0,1,3,1125,0,,,,,,,,1,
4,4866426,2346300,1.0,2,1.0,1.0,1.0,80.0,1,1,90,144,97.0,10.0,10.0,10.0,10.0,10.0,10.0,1,3.14
5,19115443,2856748,104.0,6,2.5,2.0,3.0,550.0,1,30,1125,0,,,,,,,,51,
6,12132427,10584659,1.0,4,1.0,1.0,1.0,177.0,2,3,1125,12,93.0,10.0,9.0,9.0,9.0,10.0,9.0,1,0.38
7,27551517,7186760,1.0,1,1.0,1.0,3.0,70.0,1,2,2,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1.0
8,27016367,202886988,1.0,16,2.0,0.0,1.0,500.0,1,1,1,0,,,,,,,,1,
9,14028380,7932698,1.0,4,1.0,1.0,2.0,106.0,2,1,1125,30,96.0,10.0,10.0,10.0,10.0,9.0,10.0,1,1.1
10,20917330,8941591,1.0,2,1.0,1.0,1.0,175.0,1,6,30,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0.15
11,13466663,6980995,5.0,2,1.0,1.0,1.0,95.0,1,1,1125,10,96.0,10.0,10.0,10.0,10.0,9.0,10.0,5,0.34
12,7497287,241593,2.0,2,1.0,1.0,1.0,70.0,1,1,1125,0,,,,,,,,2,
